                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   03-15-2-4-6   26.89%     23.66%     22.15%     4.37%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-46-5   29.19%     28.84%     26.72%     10.09%  
                   0-1-2-3-456   30.09%     28.39%     25.95%     9.84%   
                   01-2-3-46-5   34.31%     27.55%     26.19%     9.62%   
                   0-1-2-35-46   26.89%     28.36%     25.94%     9.57%   
                   0-1-23-45-6   27.91%     28.38%     25.92%     9.56%   
                   0-1-234-5-6   31.37%     28.03%     26.06%     9.38%   
                   0-1-2-346-5   28.94%     28.15%     25.74%     9.36%   
                   0-1-25-3-46   28.94%     28.12%     26.05%     9.29%   
                   0-1-245-3-6   32.01%     27.77%     25.86%     9.28%   
                   0-1-24-36-5   28.55%     28.12%     26.16%     9.25%   
                   0-1-2-36-45   26.38%     28.16%     25.48%     9.18%   
                   01-24-3-5-6   35.21%     27.04%     26.07%     9.16%   
                   0-1-24-35-6   27.78%     27.85%     25.83%     9.11%   
                   01-2-3-45-6   33.03%     27.08%     25.39%     9.09%   
                   0-1-24-3-56   28.81%     27.86%     25.97%     9.08%   
                   01-23-4-5-6   35.08%     26.78%     25.62%     8.96%   
                   04-1-23-5-6   28.17%     27.54%     25.34%     8.92%   
                   0-12-3-46-5   33.42%     28.30%     25.25%     8.90%   
                   0-1-23-4-56   28.68%     27.61%     25.51%     8.89%   
                   0-16-24-3-5   32.52%     27.97%     25.50%     8.79%   
                   0-1-2-345-6   26.89%     27.47%     24.93%     8.79%   
                   0-13-2-46-5   29.96%     28.00%     25.92%     8.76%   
                   0-1-246-3-5   32.52%     27.83%     25.46%     8.76%   
                   0-1-235-4-6   31.63%     27.30%     25.24%     8.76%   
                   0-16-2-3-45   30.35%     28.02%     24.82%     8.72%   
                   0-1-2-356-4   29.07%     27.32%     24.92%     8.62%   
                   0-16-23-4-5   32.39%     27.72%     25.04%     8.59%   
                   01-2-36-4-5   33.55%     26.57%     25.17%     8.59%   
                   04-1-2-36-5   26.63%     27.32%     24.89%     8.54%   
                   01-2-35-4-6   32.78%     26.30%     24.84%     8.44%   
                   01-2-3-4-56   33.80%     26.31%     24.98%     8.42%   
                   04-1-2-35-6   25.86%     27.06%     24.56%     8.40%   
                   04-1-2-3-56   26.89%     27.07%     24.70%     8.38%   
                   0-12-3-45-6   32.14%     27.84%     24.46%     8.37%   
                   0-13-24-5-6   30.86%     27.48%     25.80%     8.30%   
                   05-1-2-3-46   27.02%     26.78%     24.83%     8.28%   
                   0-1-25-36-4   28.17%     27.14%     25.04%     8.26%   
                   0-13-2-45-6   28.68%     27.53%     25.12%     8.23%   
                   01-2-34-5-6   32.14%     26.04%     24.78%     8.21%   
                   01-25-3-4-6   34.83%     26.06%     24.95%     8.16%   
                   0-1-2-34-56   25.74%     26.86%     24.67%     8.14%   
                   04-1-25-3-6   27.91%     26.82%     24.68%     8.12%   
                   04-16-2-3-5   30.60%     27.18%     24.24%     8.08%   
                   0-16-2-35-4   30.09%     27.24%     24.27%     8.08%   
                   045-1-2-3-6   28.17%     26.30%     24.10%     7.98%   
                   0-1-236-4-5   31.63%     27.23%     24.59%     7.92%   
                   0-1-25-34-6   26.76%     26.61%     24.64%     7.88%   
                   0-12-36-4-5   32.65%     27.32%     24.24%     7.86%   
                   0-16-2-34-5   29.45%     26.97%     24.21%     7.85%   
                   0-123-4-5-6   39.18%     27.03%     24.39%     7.85%   
                   05-1-24-3-6   27.91%     26.27%     24.71%     7.81%   
                   0-16-25-3-4   32.14%     26.99%     24.38%     7.79%   
                   0-136-2-4-5   35.85%     27.04%     24.46%     7.75%   
                   04-12-3-5-6   32.39%     27.00%     23.87%     7.73%   
                   0-12-35-4-6   31.88%     27.06%     23.91%     7.72%   
                   0-1-26-3-45   26.89%     27.51%     24.22%     7.72%   
                   0-12-3-4-56   32.91%     27.06%     24.04%     7.70%   
                   03-1-2-46-5   26.12%     26.21%     24.46%     7.68%   
                   046-1-2-3-5   29.58%     26.21%     24.33%     7.66%   
                   05-1-23-4-6   27.78%     26.01%     24.26%     7.61%   
                   04-13-2-5-6   28.94%     26.69%     24.54%     7.59%   
                   0-13-2-4-56   29.45%     26.76%     24.71%     7.56%   
                   0-12-34-5-6   31.24%     26.79%     23.84%     7.49%   
                   0-15-2-3-46   29.19%     27.06%     24.98%     7.44%   
                   02-1-3-46-5   28.68%     26.35%     24.72%     7.43%   
                   016-2-3-4-5   39.69%     25.77%     23.82%     7.34%   
                   024-1-3-5-6   32.01%     25.90%     24.46%     7.32%   
                   0-13-25-4-6   30.47%     26.51%     24.68%     7.30%   
                   05-1-2-36-4   26.25%     25.80%     23.81%     7.24%   
                   0-1-256-3-4   31.63%     26.63%     24.05%     7.24%   
                   03-1-24-5-6   27.02%     25.70%     24.34%     7.22%   
                   03-1-2-45-6   24.84%     25.75%     23.66%     7.15%   
                   01-26-3-4-5   34.06%     25.91%     23.91%     7.12%   
                   012-3-4-5-6   43.02%     25.58%     23.58%     7.10%   
                   04-1-26-3-5   27.14%     26.67%     23.63%     7.08%   
                   0-1-26-35-4   26.63%     26.73%     23.66%     7.08%   
                   013-2-4-5-6   37.00%     25.45%     24.10%     7.02%   
                   06-1-24-3-5   28.04%     25.77%     24.36%     6.98%   
                   0-15-24-3-6   30.09%     26.55%     24.87%     6.97%   
                   06-1-2-3-45   25.86%     25.82%     23.68%     6.91%   
                   02-1-3-45-6   27.40%     25.88%     23.93%     6.90%   
                   05-1-2-34-6   24.84%     25.27%     23.42%     6.87%   
                   0-1-26-34-5   25.99%     26.46%     23.60%     6.85%   
                   0-126-3-4-5   39.82%     26.95%     23.34%     6.83%   
                   034-1-2-5-6   26.38%     25.30%     23.48%     6.83%   
                   0-146-2-3-5   34.70%     26.78%     24.44%     6.80%   
                   06-1-23-4-5   27.91%     25.52%     23.90%     6.78%   
                   05-16-2-3-4   30.22%     25.65%     23.16%     6.78%   
                   0-15-23-4-6   29.96%     26.29%     24.41%     6.78%   
                   014-2-3-5-6   36.36%     25.41%     24.30%     6.63%   
                   0-156-2-3-4   35.34%     26.24%     23.68%     6.52%   
                   03-1-2-4-56   25.61%     24.97%     23.25%     6.48%   
                   05-12-3-4-6   32.01%     25.47%     22.79%     6.42%   
                   0-14-23-5-6   28.81%     26.42%     24.71%     6.42%   
                   0-15-2-36-4   28.43%     26.08%     23.96%     6.40%   
                   02-1-36-4-5   27.91%     25.37%     23.71%     6.40%   
                   015-2-3-4-6   37.13%     24.84%     23.57%     6.31%   
                   05-13-2-4-6   28.55%     25.17%     23.46%     6.29%   
                   04-15-2-3-6   28.17%     25.75%     23.60%     6.27%   
                   06-1-2-35-4   25.61%     25.04%     23.13%     6.27%   
                   0-13-26-4-5   29.71%     26.36%     23.64%     6.26%   
                   02-1-35-4-6   27.14%     25.10%     23.38%     6.25%   
                   0-124-3-5-6   37.39%     26.61%     24.19%     6.25%   
                   02-1-3-4-56   28.17%     25.11%     23.52%     6.23%   
                   03-1-25-4-6   26.63%     24.72%     23.22%     6.22%   
                   03-16-2-4-5   29.32%     25.08%     22.78%     6.19%   
                   0-125-3-4-6   38.16%     26.09%     23.44%     6.09%   
                   035-1-2-4-6   26.63%     24.50%     22.77%     6.08%   
                   0-14-2-36-5   27.27%     26.21%     24.27%     6.05%   
                   06-1-2-34-5   24.97%     24.77%     23.07%     6.04%   
                   0-15-2-34-6   27.02%     25.55%     23.57%     6.03%   
                   02-1-34-5-6   26.50%     24.84%     23.31%     6.03%   
                   0-135-2-4-6   32.65%     25.67%     23.81%     5.99%   
                   06-1-25-3-4   27.66%     24.79%     23.24%     5.98%   
                   02-16-3-4-5   31.88%     25.22%     23.05%     5.94%   
                   056-1-2-3-4   28.68%     24.68%     22.91%     5.93%   
                   023-1-4-5-6   30.60%     24.91%     23.34%     5.92%   
                   0-14-2-35-6   26.50%     25.94%     23.94%     5.91%   
                   0-14-2-3-56   27.53%     25.95%     24.07%     5.88%   
                   03-12-4-5-6   31.11%     24.90%     22.42%     5.83%   
                   05-1-26-3-4   26.76%     25.14%     22.55%     5.78%   
                   025-1-3-4-6   31.24%     24.62%     23.12%     5.76%   
                   0-14-25-3-6   28.55%     25.70%     24.05%     5.62%   
                   06-12-3-4-5   32.14%     24.97%     22.44%     5.59%   
                   036-1-2-4-5   27.53%     24.53%     22.77%     5.54%   
                   06-13-2-4-5   28.68%     24.67%     23.11%     5.45%   
                   02-13-4-5-6   30.22%     24.74%     23.35%     5.44%   
                   0-134-2-5-6   30.86%     25.71%     24.02%     5.39%   
                   03-1-26-4-5   25.86%     24.57%     22.18%     5.19%   
                   0-15-26-3-4   28.94%     25.42%     22.70%     4.94%   
                   0-145-2-3-6   30.99%     25.15%     23.54%     4.74%   
                   05-14-2-3-6   26.63%     24.36%     22.82%     4.61%   
                   0-14-26-3-5   27.78%     25.55%     23.00%     4.59%   
                   03-15-2-4-6   26.89%     23.66%     22.15%     4.37%   
                   026-1-3-4-5   30.60%     24.34%     22.21%     4.23%   
                   06-15-2-3-4   27.91%     23.73%     22.17%     4.13%   
                   02-15-3-4-6   29.45%     23.80%     22.42%     4.12%   
                   03-14-2-5-6   25.74%     23.79%     22.45%     4.02%   
                   06-14-2-3-5   26.76%     23.86%     22.47%     3.78%   
                   02-14-3-5-6   28.30%     23.93%     22.72%     3.77%   
